time,open,high,low,close,volume
2026-03-30,23.3,23.8,23.3,23.75,7414700
2026-03-31,23.65,23.85,23.45,23.55,13096000
2026-04-01,23.85,23.9,23.7,23.8,9883500
2026-04-02,23.7,23.7,23.3,23.6,9767900
2026-04-01,23.85,23.9,23.7,23.8,9883500
2026-04-02,23.7,23.7,23.3,23.6,9767900
2026-03-30,23.3,23.8,23.3,23.75,7414700
2026-03-31,23.65,23.85,23.45,23.55,13096000
2026-04-01,23.85,23.9,23.7,23.8,9883500
2026-04-02,23.7,23.7,23.3,23.6,9767900
2026-03-31,23.65,23.85,23.45,23.55,13096000
2026-04-01,23.85,23.9,23.7,23.8,9883500
2026-04-02,23.7,23.7,23.3,23.6,9767900
