time,open,high,low,close,volume
2026-04-01,40.0,40.6,39.7,40.25,10071800
2026-04-02,40.0,40.0,39.4,39.7,7101700
2026-03-30,39.1,39.55,38.95,39.45,6075800
2026-03-31,39.6,39.8,39.1,39.4,7278600
2026-04-01,40.0,40.6,39.7,40.25,10071800
2026-04-02,40.0,40.0,39.4,39.7,7101700
2026-03-30,39.1,39.55,38.95,39.45,6075800
2026-03-31,39.6,39.8,39.1,39.4,7278600
2026-04-01,40.0,40.6,39.7,40.25,10071800
2026-04-02,40.0,40.0,39.4,39.7,7101700
2026-03-31,39.6,39.8,39.1,39.4,7278600
2026-04-01,40.0,40.6,39.7,40.25,10071800
2026-04-02,40.0,40.0,39.4,39.7,7101700
