time,open,high,low,close,volume
2026-04-01,35.2,35.3,34.65,34.75,8257700
2026-04-02,34.45,34.55,34.1,34.3,6251200
2026-03-30,34.1,34.75,33.9,34.05,6061900
2026-03-31,34.4,34.65,34.1,34.6,7394400
2026-04-01,35.2,35.3,34.65,34.75,8257700
2026-04-02,34.45,34.55,34.1,34.3,6251200
2026-03-30,34.1,34.75,33.9,34.05,6061900
2026-03-31,34.4,34.65,34.1,34.6,7394400
2026-04-01,35.2,35.3,34.65,34.75,8257700
2026-04-02,34.45,34.55,34.1,34.3,6251200
2026-03-31,34.4,34.65,34.1,34.6,7394400
2026-04-01,35.2,35.3,34.65,34.75,8257700
2026-04-02,34.45,34.55,34.1,34.3,6251200
