time,open,high,low,close,volume
2026-03-30,50.9,51.0,48.25,49.1,6921600
2026-03-31,49.5,51.5,49.5,50.2,2507200
2026-04-01,50.6,51.4,50.2,50.5,2855400
2026-04-02,50.4,54.0,49.6,54.0,4398300
2026-04-01,50.6,51.4,50.2,50.5,2855400
2026-04-02,50.4,54.0,49.6,54.0,4398300
2026-03-30,50.9,51.0,48.25,49.1,6921600
2026-03-31,49.5,51.5,49.5,50.2,2507200
2026-04-01,50.6,51.4,50.2,50.5,2855400
2026-04-02,50.4,54.0,49.6,54.0,4398300
2026-03-31,49.5,51.5,49.5,50.2,2507200
2026-04-01,50.6,51.4,50.2,50.5,2855400
2026-04-02,50.4,54.0,49.6,54.0,4398300
