time,open,high,low,close,volume
2026-03-30,74.4,75.2,73.5,74.0,7814800
2026-03-31,74.9,75.5,74.4,74.7,5639200
2026-04-01,75.9,76.3,75.0,75.3,8534000
2026-04-02,75.2,75.2,74.2,74.7,5224400
2026-04-01,75.9,76.3,75.0,75.3,8534000
2026-04-02,75.2,75.2,74.2,74.7,5224400
2026-03-30,74.4,75.2,73.5,74.0,7814800
2026-03-31,74.9,75.5,74.4,74.7,5639200
2026-04-01,75.9,76.3,75.0,75.3,8534000
2026-04-02,75.2,75.2,74.2,74.7,5224400
2026-03-31,74.9,75.5,74.4,74.7,5639200
2026-04-01,75.9,76.3,75.0,75.3,8534000
2026-04-02,75.2,75.2,74.2,74.7,5224400
