time,open,high,low,close,volume
2026-03-30,82.1,83.2,80.4,80.8,2027000
2026-03-31,81.6,81.6,78.1,78.3,2432200
2026-04-01,80.0,81.3,79.6,80.0,1876800
2026-04-02,80.0,81.1,78.7,78.7,1167900
2026-04-01,80.0,81.3,79.6,80.0,1876800
2026-04-02,80.0,81.1,78.7,78.7,1167900
2026-03-30,82.1,83.2,80.4,80.8,2027000
2026-03-31,81.6,81.6,78.1,78.3,2432200
2026-04-01,80.0,81.3,79.6,80.0,1876800
2026-04-02,80.0,81.1,78.7,78.7,1167900
2026-03-31,81.6,81.6,78.1,78.3,2432200
2026-04-01,80.0,81.3,79.6,80.0,1876800
2026-04-02,80.0,81.1,78.7,78.7,1167900
