time,open,high,low,close,volume
2026-03-30,31.2,33.4,31.15,33.1,5368600
2026-03-31,33.5,33.5,31.7,31.7,3647100
2026-04-01,32.5,33.0,32.3,32.5,3228800
2026-04-02,31.8,32.65,31.8,32.1,2491400
2026-04-01,32.5,33.0,32.3,32.5,3228800
2026-04-02,31.8,32.65,31.8,32.1,2491400
2026-03-30,31.2,33.4,31.15,33.1,5368600
2026-03-31,33.5,33.5,31.7,31.7,3647100
2026-04-01,32.5,33.0,32.3,32.5,3228800
2026-04-02,31.8,32.65,31.8,32.1,2491400
2026-03-31,33.5,33.5,31.7,31.7,3647100
2026-04-01,32.5,33.0,32.3,32.5,3228800
2026-04-02,31.8,32.65,31.8,32.1,2491400
