time,open,high,low,close,volume
2026-03-30,24.8,25.3,24.55,25.2,14532900
2026-03-31,25.1,25.5,25.0,25.45,17460200
2026-04-01,25.8,26.0,25.6,25.6,13765700
2026-04-02,25.6,25.65,25.25,25.6,13794100
2026-04-01,25.8,26.0,25.6,25.6,13765700
2026-04-02,25.6,25.65,25.25,25.6,13794100
2026-03-30,24.8,25.3,24.55,25.2,14532900
2026-03-31,25.1,25.5,25.0,25.45,17460200
2026-04-01,25.8,26.0,25.6,25.6,13765700
2026-04-02,25.6,25.65,25.25,25.6,13794100
2026-03-31,25.1,25.5,25.0,25.45,17460200
2026-04-01,25.8,26.0,25.6,25.6,13765700
2026-04-02,25.6,25.65,25.25,25.6,13794100
