time,open,high,low,close,volume
2026-03-30,26.15,27.1,25.95,26.9,41276100
2026-03-31,27.05,27.25,26.8,26.9,23553000
2026-04-01,27.35,27.45,27.1,27.15,31503700
2026-04-02,27.0,27.5,26.75,27.35,50005700
2026-04-01,27.35,27.45,27.1,27.15,31503700
2026-04-02,27.0,27.5,26.75,27.35,50005700
2026-03-30,26.15,27.1,25.95,26.9,41276100
2026-03-31,27.05,27.25,26.8,26.9,23553000
2026-04-01,27.35,27.45,27.1,27.15,31503700
2026-04-02,27.0,27.5,26.75,27.35,50005700
2026-03-31,27.05,27.25,26.8,26.9,23553000
2026-04-01,27.35,27.45,27.1,27.15,31503700
2026-04-02,27.0,27.5,26.75,27.35,50005700
