time,open,high,low,close,volume
2026-03-30,41.8,42.1,41.2,41.95,1047100
2026-03-31,42.05,42.35,41.5,41.9,1068300
2026-04-01,42.3,42.7,41.95,42.4,1737100
2026-04-02,42.6,42.6,41.45,41.8,995000
2026-04-01,42.3,42.7,41.95,42.4,1737100
2026-04-02,42.6,42.6,41.45,41.8,995000
2026-03-30,41.8,42.1,41.2,41.95,1047100
2026-03-31,42.05,42.35,41.5,41.9,1068300
2026-04-01,42.3,42.7,41.95,42.4,1737100
2026-04-02,42.6,42.6,41.45,41.8,995000
2026-03-31,42.05,42.35,41.5,41.9,1068300
2026-04-01,42.3,42.7,41.95,42.4,1737100
2026-04-02,42.6,42.6,41.45,41.8,995000
