time,open,high,low,close,volume
2026-03-30,25.8,26.1,25.65,25.75,11214500
2026-03-31,25.95,26.7,25.95,26.45,20965700
2026-04-01,27.0,27.1,26.5,26.5,18947700
2026-04-02,26.5,26.55,25.9,26.3,23391700
2026-04-01,27.0,27.1,26.5,26.5,18947700
2026-04-02,26.5,26.55,25.9,26.3,23391700
2026-03-30,25.8,26.1,25.65,25.75,11214500
2026-03-31,25.95,26.7,25.95,26.45,20965700
2026-04-01,27.0,27.1,26.5,26.5,18947700
2026-04-02,26.5,26.55,25.9,26.3,23391700
2026-03-31,25.95,26.7,25.95,26.45,20965700
2026-04-01,27.0,27.1,26.5,26.5,18947700
2026-04-02,26.5,26.55,25.9,26.3,23391700
