time,open,high,low,close,volume
2026-03-30,72.0,75.3,71.8,74.8,6573900
2026-03-31,75.5,76.4,75.0,75.5,5911100
2026-04-01,76.8,77.4,75.9,76.9,8282500
2026-04-02,76.6,76.7,75.3,76.1,5420300
2026-04-01,76.8,77.4,75.9,76.9,8282500
2026-04-02,76.6,76.7,75.3,76.1,5420300
2026-03-30,72.0,75.3,71.8,74.8,6573900
2026-03-31,75.5,76.4,75.0,75.5,5911100
2026-04-01,76.8,77.4,75.9,76.9,8282500
2026-04-02,76.6,76.7,75.3,76.1,5420300
2026-03-31,75.5,76.4,75.0,75.5,5911100
2026-04-01,76.8,77.4,75.9,76.9,8282500
2026-04-02,76.6,76.7,75.3,76.1,5420300
