time,open,high,low,close,volume
2026-03-30,78.9,80.8,78.6,80.8,6027600
2026-03-31,80.8,82.1,80.5,81.8,6582900
2026-04-01,83.0,83.9,81.8,82.4,5736600
2026-04-02,81.8,81.8,80.0,81.8,5675700
2026-04-01,83.0,83.9,81.8,82.4,5736600
2026-04-02,81.8,81.8,80.0,81.8,5675700
2026-03-30,78.9,80.8,78.6,80.8,6027600
2026-03-31,80.8,82.1,80.5,81.8,6582900
2026-04-01,83.0,83.9,81.8,82.4,5736600
2026-04-02,81.8,81.8,80.0,81.8,5675700
2026-03-31,80.8,82.1,80.5,81.8,6582900
2026-04-01,83.0,83.9,81.8,82.4,5736600
2026-04-02,81.8,81.8,80.0,81.8,5675700
