time,open,high,low,close,volume
2026-03-30,42.0,43.0,41.4,41.4,5415300
2026-03-31,41.9,41.9,40.35,40.4,4149100
2026-04-01,41.1,41.85,40.5,40.7,4263100
2026-04-02,41.0,41.45,40.05,40.4,2560600
2026-04-01,41.1,41.85,40.5,40.7,4263100
2026-04-02,41.0,41.45,40.05,40.4,2560600
2026-03-30,42.0,43.0,41.4,41.4,5415300
2026-03-31,41.9,41.9,40.35,40.4,4149100
2026-04-01,41.1,41.85,40.5,40.7,4263100
2026-04-02,41.0,41.45,40.05,40.4,2560600
2026-03-31,41.9,41.9,40.35,40.4,4149100
2026-04-01,41.1,41.85,40.5,40.7,4263100
2026-04-02,41.0,41.45,40.05,40.4,2560600
