time,open,high,low,close,volume
2026-03-30,43.9,44.55,42.05,44.15,668100
2026-03-31,44.25,44.65,44.15,44.3,413500
2026-04-01,44.75,44.8,44.35,44.5,469200
2026-04-02,44.7,44.7,44.1,44.2,401600
2026-04-01,44.75,44.8,44.35,44.5,469200
2026-04-02,44.7,44.7,44.1,44.2,401600
2026-03-30,43.9,44.55,42.05,44.15,668100
2026-03-31,44.25,44.65,44.15,44.3,413500
2026-04-01,44.75,44.8,44.35,44.5,469200
2026-04-02,44.7,44.7,44.1,44.2,401600
2026-03-31,44.25,44.65,44.15,44.3,413500
2026-04-01,44.75,44.8,44.35,44.5,469200
2026-04-02,44.7,44.7,44.1,44.2,401600
