time,open,high,low,close,volume
2026-03-30,15.2,15.45,15.0,15.45,85561300
2026-03-31,15.3,15.55,15.25,15.55,96443300
2026-04-01,15.6,15.65,15.2,15.2,79845400
2026-04-02,15.15,15.15,14.75,14.85,110127300
2026-04-01,15.6,15.65,15.2,15.2,79845400
2026-04-02,15.15,15.15,14.75,14.85,110127300
2026-03-30,15.2,15.45,15.0,15.45,85561300
2026-03-31,15.3,15.55,15.25,15.55,96443300
2026-04-01,15.6,15.65,15.2,15.2,79845400
2026-04-02,15.15,15.15,14.75,14.85,110127300
2026-03-31,15.3,15.55,15.25,15.55,96443300
2026-04-01,15.6,15.65,15.2,15.2,79845400
2026-04-02,15.15,15.15,14.75,14.85,110127300
