time,open,high,low,close,volume
2026-03-30,16.85,16.9,16.6,16.9,1937100
2026-03-31,16.85,16.95,16.75,16.95,1800000
2026-04-01,17.0,17.05,16.9,17.0,1746800
2026-04-02,16.95,16.95,16.75,16.9,1858400
2026-04-01,17.0,17.05,16.9,17.0,1746800
2026-04-02,16.95,16.95,16.75,16.9,1858400
2026-03-30,16.85,16.9,16.6,16.9,1937100
2026-03-31,16.85,16.95,16.75,16.95,1800000
2026-04-01,17.0,17.05,16.9,17.0,1746800
2026-04-02,16.95,16.95,16.75,16.9,1858400
2026-03-31,16.85,16.95,16.75,16.95,1800000
2026-04-01,17.0,17.05,16.9,17.0,1746800
2026-04-02,16.95,16.95,16.75,16.9,1858400
