time,open,high,low,close,volume
2026-03-30,26.35,26.9,26.0,26.55,25942100
2026-03-31,26.7,27.3,26.55,26.95,34450800
2026-04-01,27.7,28.5,27.6,27.9,40298800
2026-04-02,27.65,27.95,27.35,27.55,25165800
2026-04-01,27.7,28.5,27.6,27.9,40298800
2026-04-02,27.65,27.95,27.35,27.55,25165800
2026-03-30,26.35,26.9,26.0,26.55,25942100
2026-03-31,26.7,27.3,26.55,26.95,34450800
2026-04-01,27.7,28.5,27.6,27.9,40298800
2026-04-02,27.65,27.95,27.35,27.55,25165800
2026-03-31,26.7,27.3,26.55,26.95,34450800
2026-04-01,27.7,28.5,27.6,27.9,40298800
2026-04-02,27.65,27.95,27.35,27.55,25165800
