time,open,high,low,close,volume
2026-03-30,30.05,30.5,29.75,30.5,6340300
2026-03-31,30.5,30.75,30.4,30.7,8861500
2026-04-01,31.35,31.35,30.8,30.8,8787500
2026-04-02,30.5,30.55,30.1,30.35,7864700
2026-04-01,31.35,31.35,30.8,30.8,8787500
2026-04-02,30.5,30.55,30.1,30.35,7864700
2026-03-30,30.05,30.5,29.75,30.5,6340300
2026-03-31,30.5,30.75,30.4,30.7,8861500
2026-04-01,31.35,31.35,30.8,30.8,8787500
2026-04-02,30.5,30.55,30.1,30.35,7864700
2026-03-31,30.5,30.75,30.4,30.7,8861500
2026-04-01,31.35,31.35,30.8,30.8,8787500
2026-04-02,30.5,30.55,30.1,30.35,7864700
