time,open,high,low,close,volume
2026-03-30,15.9,16.2,15.85,15.95,5128400
2026-03-31,16.05,16.5,16.0,16.3,11363300
2026-04-01,16.55,16.75,16.3,16.35,11594500
2026-04-02,16.25,16.25,15.95,16.0,5650100
2026-04-01,16.55,16.75,16.3,16.35,11594500
2026-04-02,16.25,16.25,15.95,16.0,5650100
2026-03-30,15.9,16.2,15.85,15.95,5128400
2026-03-31,16.05,16.5,16.0,16.3,11363300
2026-04-01,16.55,16.75,16.3,16.35,11594500
2026-04-02,16.25,16.25,15.95,16.0,5650100
2026-03-31,16.05,16.5,16.0,16.3,11363300
2026-04-01,16.55,16.75,16.3,16.35,11594500
2026-04-02,16.25,16.25,15.95,16.0,5650100
