time,open,high,low,close,volume
2026-03-30,57.9,58.5,57.8,58.0,5546000
2026-03-31,58.2,58.9,58.0,58.1,5481100
2026-04-01,58.9,59.2,58.5,59.0,8254700
2026-04-02,58.7,58.8,58.1,58.2,5664500
2026-04-01,58.9,59.2,58.5,59.0,8254700
2026-04-02,58.7,58.8,58.1,58.2,5664500
2026-03-30,57.9,58.5,57.8,58.0,5546000
2026-03-31,58.2,58.9,58.0,58.1,5481100
2026-04-01,58.9,59.2,58.5,59.0,8254700
2026-04-02,58.7,58.8,58.1,58.2,5664500
2026-03-31,58.2,58.9,58.0,58.1,5481100
2026-04-01,58.9,59.2,58.5,59.0,8254700
2026-04-02,58.7,58.8,58.1,58.2,5664500
