time,open,high,low,close,volume
2026-03-30,100.8,103.6,100.2,103.0,2582200
2026-03-31,102.4,103.8,102.0,103.0,1487400
2026-04-01,110.2,110.2,110.2,110.2,2031500
2026-04-02,117.9,117.9,116.1,117.9,16320300
2026-04-01,110.2,110.2,110.2,110.2,2031500
2026-04-02,117.9,117.9,116.1,117.9,16320300
2026-03-30,100.8,103.6,100.2,103.0,2582200
2026-03-31,102.4,103.8,102.0,103.0,1487400
2026-04-01,110.2,110.2,110.2,110.2,2031500
2026-04-02,117.9,117.9,116.1,117.9,16320300
2026-03-31,102.4,103.8,102.0,103.0,1487400
2026-04-01,110.2,110.2,110.2,110.2,2031500
2026-04-02,117.9,117.9,116.1,117.9,16320300
