time,open,high,low,close,volume
2026-03-30,16.8,17.1,16.8,16.9,3507600
2026-03-31,17.05,17.2,16.9,16.95,4166800
2026-04-01,17.15,17.4,17.1,17.2,5681800
2026-04-02,17.15,17.15,16.85,16.9,4091500
2026-04-01,17.15,17.4,17.1,17.2,5681800
2026-04-02,17.15,17.15,16.85,16.9,4091500
2026-03-30,16.8,17.1,16.8,16.9,3507600
2026-03-31,17.05,17.2,16.9,16.95,4166800
2026-04-01,17.15,17.4,17.1,17.2,5681800
2026-04-02,17.15,17.15,16.85,16.9,4091500
2026-03-31,17.05,17.2,16.9,16.95,4166800
2026-04-01,17.15,17.4,17.1,17.2,5681800
2026-04-02,17.15,17.15,16.85,16.9,4091500
