time,open,high,low,close,volume
2026-03-30,128.9,132.2,127.5,129.5,2042500
2026-03-31,130.2,135.0,130.0,135.0,3316700
2026-04-01,143.0,144.3,139.3,141.0,3637400
2026-04-02,142.8,142.8,137.8,139.9,4153300
2026-04-01,143.0,144.3,139.3,141.0,3637400
2026-04-02,142.8,142.8,137.8,139.9,4153300
2026-03-30,128.9,132.2,127.5,129.5,2042500
2026-03-31,130.2,135.0,130.0,135.0,3316700
2026-04-01,143.0,144.3,139.3,141.0,3637400
2026-04-02,142.8,142.8,137.8,139.9,4153300
2026-03-31,130.2,135.0,130.0,135.0,3316700
2026-04-01,143.0,144.3,139.3,141.0,3637400
2026-04-02,142.8,142.8,137.8,139.9,4153300
