time,open,high,low,close,volume
2026-03-30,25.65,26.4,25.55,26.1,16541700
2026-03-31,26.4,26.9,26.25,26.7,19377200
2026-04-01,27.3,27.35,26.8,26.8,10288600
2026-04-02,26.6,26.6,26.0,26.25,11441500
2026-04-01,27.3,27.35,26.8,26.8,10288600
2026-04-02,26.6,26.6,26.0,26.25,11441500
2026-03-30,25.65,26.4,25.55,26.1,16541700
2026-03-31,26.4,26.9,26.25,26.7,19377200
2026-04-01,27.3,27.35,26.8,26.8,10288600
2026-04-02,26.6,26.6,26.0,26.25,11441500
2026-03-31,26.4,26.9,26.25,26.7,19377200
2026-04-01,27.3,27.35,26.8,26.8,10288600
2026-04-02,26.6,26.6,26.0,26.25,11441500
