time,open,high,low,close,volume
2026-03-30,81.7,84.3,80.0,83.3,594800
2026-03-31,82.3,84.5,82.3,83.4,312100
2026-04-01,86.0,86.5,83.4,83.9,2375500
2026-04-02,84.2,84.2,81.0,83.9,766400
2026-04-01,86.0,86.5,83.4,83.9,2375500
2026-04-02,84.2,84.2,81.0,83.9,766400
2026-03-30,81.7,84.3,80.0,83.3,594800
2026-03-31,82.3,84.5,82.3,83.4,312100
2026-04-01,86.0,86.5,83.4,83.9,2375500
2026-04-02,84.2,84.2,81.0,83.9,766400
2026-03-31,82.3,84.5,82.3,83.4,312100
2026-04-01,86.0,86.5,83.4,83.9,2375500
2026-04-02,84.2,84.2,81.0,83.9,766400
