time,open,high,low,close,volume
2026-03-30,25.0,25.7,25.0,25.65,2525500
2026-03-31,25.7,25.85,25.45,25.75,2502700
2026-04-01,26.8,27.55,26.7,27.55,10207100
2026-04-02,28.0,28.3,27.2,27.2,6533700
2026-04-01,26.8,27.55,26.7,27.55,10207100
2026-04-02,28.0,28.3,27.2,27.2,6533700
2026-03-30,25.0,25.7,25.0,25.65,2525500
2026-03-31,25.7,25.85,25.45,25.75,2502700
2026-04-01,26.8,27.55,26.7,27.55,10207100
2026-04-02,28.0,28.3,27.2,27.2,6533700
2026-03-31,25.7,25.85,25.45,25.75,2502700
2026-04-01,26.8,27.55,26.7,27.55,10207100
2026-04-02,28.0,28.3,27.2,27.2,6533700
